name,slug,price,quantity,description,category_id,image
"Samsung Galaxy S23 Ultra","samsung-galaxy-s23-ultra",159999,25,"Flagship smartphone with 200MP camera, 6.8 inch Dynamic AMOLED display, Snapdragon 8 Gen 2 processor",9,
"Apple iPhone 15 Pro","apple-iphone-15-pro",179999,30,"Latest iPhone with A17 Pro chip, titanium design, 48MP camera system",9,
"OnePlus 11R 5G","oneplus-11r-5g",39999,50,"MediaTek Dimensity 8100 processor, 50MP Sony IMX890 camera, 100W fast charging",9,
"Redmi Note 13 Pro","redmi-note-13-pro",32999,60,"200MP camera, AMOLED display, 67W turbo charging",9,
"Samsung Galaxy A54","samsung-galaxy-a54",47999,45,"5G smartphone with OIS camera, 120Hz display",9,
"Realme 11 Pro Plus","realme-11-pro-plus",34999,40,"200MP camera, curved AMOLED display, Dimensity 7050",9,
"Apple AirPods Pro 2","apple-airpods-pro-2",29999,35,"Active noise cancellation, spatial audio, USB-C charging",9,
"Samsung Galaxy Buds 2 Pro","samsung-galaxy-buds-2-pro",18999,40,"Premium TWS earbuds with ANC, 360 audio",9,
"boAt Airdopes 141","boat-airdopes-141",1499,100,"Budget TWS earbuds with 42hrs playback",9,
"Dell XPS 15","dell-xps-15",189999,15,"15.6 inch 4K OLED, Intel i7 13th Gen, 16GB RAM, 512GB SSD, RTX 4050",10,
"MacBook Air M2","macbook-air-m2",134999,20,"13.6 inch Liquid Retina, Apple M2 chip, 8GB RAM, 256GB SSD",10,
"HP Pavilion Gaming","hp-pavilion-gaming",89999,25,"15.6 inch FHD, Ryzen 5 5600H, 8GB RAM, RTX 3050, 512GB SSD",10,
"Lenovo IdeaPad Slim 3","lenovo-ideapad-slim-3",45999,35,"15.6 inch FHD, Intel i5 12th Gen, 8GB RAM, 512GB SSD",10,
"ASUS ROG Strix G15","asus-rog-strix-g15",149999,18,"15.6 inch 165Hz, Ryzen 7 6800H, 16GB RAM, RTX 3060, 1TB SSD",10,
"Acer Aspire 5","acer-aspire-5",54999,30,"15.6 inch FHD, Intel i5 12th Gen, 8GB RAM, 512GB SSD",10,
"Logitech MX Master 3S","logitech-mx-master-3s",12999,50,"Premium wireless mouse, 8K DPI, quiet clicks",10,
"Samsung 55 inch 4K Smart TV","samsung-55-inch-4k-smart-tv",74999,20,"Crystal UHD 4K display, Tizen OS, HDR support",1,
"LG 43 inch Full HD TV","lg-43-inch-full-hd-tv",42999,25,"WebOS, Active HDR, AI ThinQ",1,
"Sony 65 inch OLED TV","sony-65-inch-oled-tv",249999,8,"4K HDR OLED, Google TV, Acoustic Surface Audio",1,
"Mi TV 5X 43 inch","mi-tv-5x-43-inch",32999,35,"4K Android TV, Dolby Vision, 30W speakers",1,
"Sony WH-1000XM5","sony-wh-1000xm5",34999,30,"Premium noise cancelling headphones, 30hrs battery",1,
"JBL Flip 6","jbl-flip-6",12999,45,"Portable Bluetooth speaker, IP67 waterproof, 12hrs playtime",1,
"Canon EOS 90D","canon-eos-90d",149999,10,"32.5MP DSLR camera, 4K video, 45-point AF system",1,
"GoPro Hero 11 Black","gopro-hero-11-black",49999,25,"5.3K video, HyperSmooth 5.0, waterproof action camera",1,
"Nike Air Max 270","nike-air-max-270",12999,50,"Men's running shoes, Max Air cushioning, breathable mesh",2,
"Adidas Ultraboost 22","adidas-ultraboost-22",16999,40,"Premium running shoes, Boost midsole, Primeknit upper",2,
"Levi's 511 Slim Fit Jeans","levis-511-slim-fit-jeans",4999,60,"Classic slim fit denim, stretch fabric, multiple washes",2,
"Zara Casual Shirt","zara-casual-shirt",2999,70,"Men's cotton casual shirt, modern fit",2,
"H&M Cotton T-Shirt Pack","hm-cotton-tshirt-pack",1999,100,"Pack of 3 basic cotton t-shirts, various colors",2,
"Puma Sports Jacket","puma-sports-jacket",5999,45,"Men's training jacket, moisture-wicking, zip pockets",2,
"Ray-Ban Aviator Sunglasses","rayban-aviator-sunglasses",8999,35,"Classic aviator style, UV protection, metal frame",2,
"Fastrack Analog Watch","fastrack-analog-watch",2499,55,"Men's casual watch, leather strap, water resistant",2,
"Fossil Leather Wallet","fossil-leather-wallet",3499,60,"Genuine leather bifold wallet, RFID blocking",2,
"Prestige Induction Cooktop","prestige-induction-cooktop",3499,40,"2000W induction cooktop, automatic whistle counter, preset menu",3,
"Philips Air Fryer","philips-air-fryer",12999,30,"Rapid Air technology, 4.1L capacity, digital display",3,
"Bajaj Majesty RX11 Toaster","bajaj-majesty-rx11-toaster",1899,50,"4-slice pop-up toaster, auto shut-off, crumb tray",3,
"Havells Mixer Grinder","havells-mixer-grinder",4999,35,"750W motor, 3 jars, overload protection",3,
"Cello Milton Casserole Set","cello-milton-casserole-set",2499,45,"Set of 3 insulated casseroles, leak-proof",3,
"Borosil Glass Bowl Set","borosil-glass-bowl-set",1499,60,"Set of 6 microwave safe bowls with lids",3,
"Pigeon Stainless Steel Pressure Cooker","pigeon-pressure-cooker",2199,55,"5L outer lid pressure cooker, induction compatible",3,
"Butterfly Wet Grinder","butterfly-wet-grinder",8999,20,"2L table top wet grinder, 150W motor",3,
"The Alchemist by Paulo Coelho","alchemist-paulo-coelho",399,80,"International bestseller, inspirational fiction",4,
"Atomic Habits by James Clear","atomic-habits-james-clear",599,70,"Self-help book on building good habits",4,
"Harry Potter Complete Collection","harry-potter-complete-collection",4999,30,"Box set of all 7 Harry Potter books",4,
"Think Like a Monk","think-like-a-monk",499,60,"By Jay Shetty, personal development guide",4,
"The Psychology of Money","psychology-of-money",449,65,"By Morgan Housel, personal finance insights",4,
"Rich Dad Poor Dad","rich-dad-poor-dad",399,75,"By Robert Kiyosaki, financial literacy classic",4,
"Ikigai","ikigai",349,70,"Japanese secret to a long and happy life",4,
"Yonex Badminton Racket","yonex-badminton-racket",3999,40,"Professional badminton racket, carbon fiber, isometric head",5,
"Nivia Storm Football","nivia-storm-football",1299,50,"Size 5 football, rubber molded, durable",5,
"Cosco Cricket Bat","cosco-cricket-bat",2499,35,"English willow, full size, good for leather ball",5,
"Strauss Yoga Mat","strauss-yoga-mat",899,60,"6mm thick, anti-slip, with carrying strap",5,
"Cockatoo Dumbbells Set","cockatoo-dumbbells-set",2999,30,"10kg adjustable dumbbells, cast iron plates",5,
